1,0
2,4
3,2
4,3
5,4
6,1
7,1
8,5
9,15
10,16
11,33
12,35
13,56
14,67
15,101
16,159
17,229
18,288
19,370
20,503
21,725
22,890
23,1246
24,1591
25,1965
26,2517
27,3026
28,4017
29,5060
30,6100
31,7296
32,8646
33,10176
34,11904
35,14023
36,16016
37,18255
38,20741
39,22873
40,25322
41,27950
42,29941
43,32353
44,34356
45,35757
46,37619
47,38542
48,39505
49,39695
50,39847
51,39503
52,38524
53,37134
54,36007
55,34454
56,32126
57,29992
58,27848
59,25381
60,22976
61,20473
62,18286
63,15869
64,13943
65,12146
66,10419
67,8562
68,7392
69,6010
70,4852
71,4084
72,3233
73,2576
74,2060
75,1581
76,1182
77,952
78,731
79,507
80,398
81,292
82,191
83,135
84,109
85,86
86,45
87,23
88,18
89,18
90,9
91,9
92,4
93,6
94,6
95,1
96,0
97,1
98,0
99,0
