1,1
2,2
3,0
4,0
5,3
6,2
7,6
8,3
9,16
10,13
11,24
12,34
13,49
14,74
15,112
16,133
17,208
18,275
19,381
20,537
21,690
22,926
23,1252
24,1565
25,1939
26,2549
27,3242
28,3862
29,4836
30,5824
31,7268
32,8703
33,10186
34,11970
35,13790
36,16237
37,18255
38,20546
39,22864
40,25548
41,27920
42,30021
43,32309
44,34206
45,36250
46,37400
47,38775
48,39516
49,39541
50,39515
51,39328
52,38386
53,37419
54,36319
55,34435
56,32480
57,30195
58,27670
59,25690
60,23137
61,20673
62,18080
63,16244
64,13858
65,12100
66,10252
67,8437
68,7150
69,5940
70,4907
71,3946
72,3216
73,2535
74,1968
75,1522
76,1192
77,913
78,703
79,524
80,388
81,312
82,189
83,157
84,109
85,90
86,49
87,35
88,25
89,15
90,10
91,8
92,5
93,3
94,2
95,2
96,0
97,0
98,1
99,2
