1,10166
2,10245
3,10204
4,10145
5,10150
6,10156
7,10131
8,10239
9,10060
10,9934
11,10075
12,10035
13,10066
14,10055
15,10129
16,10085
17,10051
18,10194
19,9733
20,10026
21,10072
22,9912
23,10142
24,10190
25,10241
26,10045
27,10243
28,10223
29,10128
30,10048
31,10089
32,10186
33,10046
34,10060
35,10067
36,10069
37,10119
38,10196
39,9949
40,10066
41,10188
42,9887
43,9988
44,10079
45,10213
46,10247
47,10209
48,10257
49,10107
50,10055
51,10112
52,10016
53,10183
54,10252
55,10196
56,10119
57,10173
58,10112
59,10028
60,10290
61,9770
62,9987
63,10265
64,10056
65,10084
66,10114
67,10115
68,10059
69,10153
70,10145
71,10105
72,9999
73,9923
74,10091
75,10117
76,10111
77,10103
78,10112
79,10043
80,10144
81,10206
82,10108
83,10138
84,9920
85,10179
86,10084
87,10211
88,10204
89,10139
90,10144
91,10023
92,10145
93,10094
94,10054
95,9940
96,9956
97,10164
98,9927
99,10187
