1,10076
2,10093
3,10038
4,10036
5,10062
6,10066
7,9951
8,10053
9,10053
10,9980
11,10278
12,10289
13,9946
14,10320
15,10228
16,10074
17,9953
18,10056
19,10122
20,10049
21,10048
22,10110
23,10243
24,10137
25,10217
26,10127
27,10097
28,10106
29,10085
30,10049
31,9996
32,10031
33,10209
34,10146
35,10331
36,10019
37,10061
38,10129
39,10054
40,10089
41,10158
42,9965
43,10075
44,9978
45,10077
46,10122
47,10132
48,10023
49,10138
50,10046
51,10078
52,10124
53,10030
54,10021
55,10089
56,10108
57,9946
58,10134
59,10101
60,9993
61,10166
62,10079
63,10112
64,10221
65,10234
66,10136
67,10117
68,10058
69,10207
70,10180
71,10156
72,10158
73,10032
74,10304
75,10190
76,10165
77,10052
78,10042
79,10133
80,10120
81,9966
82,10170
83,10137
84,10036
85,10157
86,10239
87,10094
88,10083
89,10098
90,10059
91,10187
92,9936
93,10104
94,10096
95,10070
96,10248
97,10079
98,9921
99,10113
